TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2014_Giants,2014,Giants,0.5432098765432098,0.8148148148148148,0.07,0.133,0.304,0.255,0.311,0.388,0.308,13.493827160493828,11.302469135802468,0.838,0.83,0.282,0.45899999999999996,0.094
2013_Athletics,2013,Athletics,0.5925925925925926,1.1481481481481481,0.092,0.165,0.289,0.254,0.327,0.419,0.327,13.407407407407407,11.24074074074074,0.838,1.01,0.276,0.395,0.092
2007_Brewers,2007,Brewers,0.5123456790123457,1.4259259259259258,0.08,0.194,0.289,0.262,0.329,0.456,0.337,14.641975308641975,11.716049382716049,0.8,1.0,0.308,0.415,0.092
2016_Blue Jays,2016,Blue Jays,0.5493827160493827,1.3641975308641976,0.10099999999999999,0.17800000000000002,0.289,0.248,0.33,0.426,0.327,12.882716049382717,10.61111111111111,0.8240000000000001,1.13,0.282,0.466,0.13
2018_Cubs,2018,Cubs,0.5828220858895705,1.0245398773006136,0.09,0.152,0.313,0.258,0.333,0.41,0.321,12.846625766871165,10.766871165644172,0.838,0.96,0.284,0.45,0.115
2010_Cardinals,2010,Cardinals,0.5308641975308642,0.9259259259259259,0.087,0.139,0.29600000000000004,0.263,0.332,0.402,0.322,14.864197530864198,12.08641975308642,0.813,0.82,0.292,0.495,0.092
2010_Red Sox,2010,Red Sox,0.5493827160493827,1.3024691358024691,0.092,0.183,0.299,0.268,0.339,0.451,0.345,14.104938271604938,11.691358024691358,0.8290000000000001,0.94,0.292,0.436,0.09
2019_Cubs,2019,Cubs,0.5185185185185185,1.5802469135802468,0.094,0.2,0.297,0.252,0.331,0.452,0.33,12.481481481481481,10.135802469135802,0.812,1.22,0.3,0.45899999999999996,0.15
2016_Indians,2016,Indians,0.5838509316770186,1.1490683229813665,0.086,0.168,0.304,0.262,0.329,0.43,0.326,12.813664596273291,10.627329192546584,0.8290000000000001,1.16,0.289,0.467,0.13699999999999998
2014_Tigers,2014,Tigers,0.5555555555555556,0.9567901234567902,0.071,0.15,0.319,0.277,0.331,0.426,0.331,14.401234567901234,11.617283950617283,0.807,0.79,0.312,0.442,0.083
2009_Brewers,2009,Brewers,0.49382716049382713,1.123456790123457,0.09699999999999999,0.16399999999999998,0.305,0.263,0.341,0.426,0.336,14.660493827160494,12.432098765432098,0.848,1.3,0.295,0.426,0.12
2008_Brewers,2008,Brewers,0.5555555555555556,1.2222222222222223,0.08800000000000001,0.179,0.287,0.253,0.325,0.431,0.329,14.135802469135802,11.716049382716049,0.8290000000000001,1.08,0.285,0.45399999999999996,0.11699999999999999
2015_Mets,2015,Mets,0.5555555555555556,1.0925925925925926,0.079,0.156,0.287,0.244,0.312,0.4,0.309,13.407407407407407,10.950617283950617,0.8170000000000001,0.94,0.28800000000000003,0.46299999999999997,0.10800000000000001
2008_Braves,2008,Braves,0.4444444444444444,0.8024691358024691,0.09699999999999999,0.138,0.309,0.27,0.345,0.408,0.332,14.32716049382716,11.895061728395062,0.83,0.97,0.293,0.483,0.114
2018_Angels,2018,Angels,0.49382716049382713,1.3209876543209877,0.084,0.171,0.277,0.242,0.313,0.413,0.313,12.203703703703704,9.981481481481481,0.818,1.28,0.294,0.42100000000000004,0.141
2017_Nationals,2017,Nationals,0.5987654320987654,1.3271604938271604,0.087,0.183,0.311,0.266,0.332,0.449,0.331,12.209876543209877,9.932098765432098,0.813,1.18,0.287,0.44,0.128
2009_Red Sox,2009,Red Sox,0.5864197530864198,1.308641975308642,0.10400000000000001,0.184,0.301,0.27,0.35200000000000004,0.454,0.35100000000000003,13.777777777777779,11.530864197530864,0.8370000000000001,1.05,0.309,0.409,0.094
2006_Yankees,2006,Yankees,0.5987654320987654,1.2962962962962963,0.10099999999999999,0.177,0.315,0.285,0.363,0.461,0.35600000000000004,15.339506172839506,12.592592592592593,0.821,1.06,0.289,0.433,0.096
2019_Brewers,2019,Brewers,0.5493827160493827,1.5432098765432098,0.1,0.192,0.29600000000000004,0.246,0.329,0.438,0.324,11.277777777777779,9.030864197530864,0.8009999999999999,1.39,0.292,0.42200000000000004,0.156
2009_Cardinals,2009,Cardinals,0.5617283950617284,0.9876543209876543,0.086,0.152,0.29600000000000004,0.263,0.332,0.415,0.325,14.74074074074074,12.160493827160494,0.825,0.77,0.292,0.498,0.087
2015_Pirates,2015,Pirates,0.6049382716049383,0.8641975308641975,0.073,0.136,0.314,0.26,0.32299999999999995,0.396,0.313,13.351851851851851,10.75925925925926,0.8059999999999999,0.66,0.302,0.504,0.094
